# File: ModelUsed.dat
# Creation time: 2026-03-02T14:35:42.613  +0100
#
# Inner population model.
# Version OSSOS 1.0, 2026-02-25
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 14.00
# Parameters for q distribution:  40.00  1.00 35.00  1.00
# Parameters for a distribution:   -2.50  37.70  39.00
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  37.7091   0.0045   5.4985 107.0601 268.6406 343.7797   8.10 2453157.50000   37.5475    inner_
  38.6532   0.0555  24.6955 261.0420 238.1668  72.9421   8.30 2453157.50000   38.1350    inner_
  38.2006   0.0581  34.5960 167.7314  37.0252 219.2015   7.48 2453157.50000   39.9688    inner_
  38.6187   0.0344  21.9857   4.4940 294.7037 350.0539   8.04 2453157.50000   37.3105    inner_
  38.0642   0.0278   3.4114 193.6520 356.4844 113.8330   8.00 2453157.50000   38.5164    inner_
  38.6531   0.0595   6.5301 133.8122  15.5576  74.9349   7.32 2453157.50000   38.1858    inner_
  38.2390   0.0355  22.9722 230.7576 133.7019 215.0176   7.58 2453157.50000   39.3657    inner_
  38.2850   0.0632  25.9128  93.9916 170.0944 290.2373   7.68 2453157.50000   37.5869    inner_
  38.1314   0.0576   5.0557 258.2092 179.8069 155.1229   8.40 2453157.50000   40.1451    inner_
  38.7452   0.0503  29.0192  43.5168 221.9813 345.2995   7.42 2453157.50000   36.8678    inner_
  38.5985   0.0330  34.0913 296.3195 353.5989  32.4133   7.67 2453157.50000   37.5371    inner_
  38.5052   0.0317  22.0819 191.5522  72.6005  94.6641   8.58 2453157.50000   38.6426    inner_
  38.4911   0.1403  29.1051 220.1516 272.4438 184.3237   7.79 2453157.50000   43.8788    inner_
  38.7554   0.0706   8.5513 181.5412 274.2574 288.5525   8.31 2453157.50000   38.0638    inner_
  38.9783   0.0106  29.0060 306.0366 131.5131 199.3123   8.34 2453157.50000   39.3702    inner_
  38.1304   0.0834  23.2853 162.6301  49.8623 354.5422   8.53 2453157.50000   34.9667    inner_
  38.4780   0.0340   4.6612  11.4960 205.4474 314.4423   7.65 2453157.50000   37.5852    inner_
  38.7587   0.0739  36.7140 133.5909 167.8930 257.3940   8.24 2453157.50000   39.5806    inner_
  37.7497   0.0329  27.4031 272.7489 110.7118 286.9816   8.65 2453157.50000   37.4244    inner_
  37.8823   0.0129  22.5389  10.0584 199.8953 100.5101   7.43 2453157.50000   37.9772    inner_
  38.7594   0.0157  20.8931 326.9175  38.7647 138.7431   6.43 2453157.50000   39.2209    inner_
  38.1176   0.0086   4.6780 280.4575   8.1921 124.6607   8.48 2453157.50000   38.3062    inner_
  38.8654   0.1391  34.2095 220.0166 170.1707 179.4144   8.61 2453157.50000   44.2719    inner_
  38.3159   0.0147   7.7749 117.4033 205.5040 344.1732   6.89 2453157.50000   37.7739    inner_
  38.8289   0.0848  38.6010 216.6736 239.8038 208.5672   8.26 2453157.50000   41.7791    inner_
  38.7840   0.1072  36.1634 150.1736 155.5834 244.7613   8.04 2453157.50000   40.8966    inner_
  38.2607   0.0109  22.4977 319.8221 165.5569 100.4997   8.62 2453157.50000   38.3413    inner_
  38.4912   0.0741  25.4417 185.9665 123.3556 234.5387   7.16 2453157.50000   40.2768    inner_
  38.0836   0.0723  37.5707 208.9241 339.6163 135.9354   8.00 2453157.50000   40.1498    inner_
  37.9562   0.0053   5.9162 258.1819 208.3503  52.8286   7.33 2453157.50000   37.8357    inner_
  37.7100   0.0123  37.8300  20.6667 164.4688 296.1992   7.53 2453157.50000   37.5095    inner_
  38.0939   0.0367  21.3288 276.3019  95.7253 196.5674   8.07 2453157.50000   39.4361    inner_
  38.5046   0.0697  19.7057 232.3098 157.2289  46.6835   8.01 2453157.50000   36.7696    inner_
  38.8742   0.0353  28.3977  35.7745 326.1404   8.6610   8.53 2453157.50000   37.5207    inner_
  38.3359   0.0356  37.1650  48.2152 346.5322  73.0341   7.20 2453157.50000   37.9827    inner_
  38.2817   0.0641  23.7335  94.8670 328.3116  39.2809   8.41 2453157.50000   36.4502    inner_
  37.8330   0.0868  31.7839 229.3541 349.1820 197.6528   8.62 2453157.50000   40.9873    inner_
  38.7475   0.0013  23.7398 339.9810 102.8409 123.5333   7.90 2453157.50000   38.7761    inner_
  37.8973   0.0442  20.2613 234.2752 171.6395  80.7289   8.61 2453157.50000   37.7002    inner_
  37.9413   0.0702  29.4792 200.3436  40.4710 195.3570   7.95 2453157.50000   40.5232    inner_
  38.4659   0.0104   6.9517 114.4704 306.5470 168.6189   7.37 2453157.50000   38.8573    inner_
  37.7589   0.0529  23.2819 168.5805  62.8946 174.6195   7.94 2453157.50000   39.7482    inner_
  38.7638   0.0795  37.4946 233.0725 247.9145 292.3931   7.20 2453157.50000   37.8081    inner_
  37.8086   0.0321  36.7124 200.8647  27.3143   9.1951   8.18 2453157.50000   36.6115    inner_
  37.8963   0.0785  22.7400 238.8061 313.7731 320.9466   8.50 2453157.50000   35.6866    inner_
  38.5372   0.0275  21.4782  67.5169 315.8728 135.0092   8.11 2453157.50000   39.3015    inner_
  38.3763   0.0109  18.8845 251.2470  46.8786 112.2653   8.34 2453157.50000   38.5391    inner_
  38.5754   0.0555  34.0646  70.0201 209.7713 296.3639   8.12 2453157.50000   37.7239    inner_
  38.1052   0.0486  27.4249 180.6789 355.4172 181.9953   8.06 2453157.50000   39.9547    inner_
  38.3863   0.0609  24.3952 226.3297  69.1759  45.4874   8.42 2453157.50000   36.8238    inner_
  38.4260   0.0637   7.6199 164.6379 178.4943 172.6588   8.62 2453157.50000   40.8552    inner_
  37.7581   0.0436  23.4518 278.9648 115.1841 311.5144   6.73 2453157.50000   36.7085    inner_
  38.2091   0.0452  19.9991 241.8030  90.4596 267.4790   8.26 2453157.50000   38.3624    inner_
  38.9975   0.0410  27.0980 100.0863 295.6983 355.8610   8.61 2453157.50000   37.4016    inner_
  38.1521   0.0781  19.4876 243.4865 313.0112 338.0767   8.28 2453157.50000   35.4245    inner_
  38.7893   0.0344   2.1161 267.8653  76.9680 280.6649   8.63 2453157.50000   38.5873    inner_
  38.2581   0.0612   5.8218  63.6833  32.3905  17.2064   7.37 2453157.50000   36.0359    inner_
  38.4410   0.0253   6.2818 118.8407 312.5119  41.1115   8.29 2453157.50000   37.7182    inner_
  37.8544   0.0110  21.3455  63.6326 226.9755  85.9847   8.17 2453157.50000   37.8298    inner_
  38.2228   0.0597  23.1413 167.8035  61.2972 149.1406   7.57 2453157.50000   40.2139    inner_
  38.4857   0.0644  23.6356   9.5572 246.3211 262.0395   8.24 2453157.50000   38.9827    inner_
  38.4933   0.0240  21.0624 337.8843  78.8247 210.0895   8.59 2453157.50000   39.2978    inner_
  38.9016   0.1078  20.4488 271.4328  92.4190  40.2869   7.59 2453157.50000   35.9182    inner_
  37.9097   0.0722  26.9118 321.7530 351.0217  79.6170   8.03 2453157.50000   37.6107    inner_
  38.8542   0.1101  28.1157 159.9044  83.2778 199.4833   7.90 2453157.50000   42.9320    inner_
  38.0695   0.0871  26.1264  79.4105  15.5148 194.2112   8.45 2453157.50000   41.3011    inner_
  38.2940   0.1225  26.0224 222.0170 247.2449 157.0617   7.95 2453157.50000   42.6878    inner_
  38.7149   0.0166  25.1205 138.0664 131.3845 209.0765   7.86 2453157.50000   39.2795    inner_
  37.9224   0.0519   6.3778  64.7570 132.2514 325.3397   7.81 2453157.50000   36.3390    inner_
  37.9476   0.0043  25.2670 168.4791 298.8608  69.2398   8.43 2453157.50000   37.8908    inner_
  38.8988   0.0830  23.1134 182.1254  60.4734 281.5530   8.52 2453157.50000   38.5148    inner_
  37.8588   0.0532  29.3815 161.9892 326.3955 339.5797   7.63 2453157.50000   35.9858    inner_
  38.4609   0.0932  36.8964 191.0957  76.0184  39.4540   7.86 2453157.50000   35.8446    inner_
  38.3373   0.0026   6.1440 111.8757 284.2309 158.0405   7.97 2453157.50000   38.4307    inner_
  38.8518   0.0833  23.9688 165.2027 319.2801 114.2737   8.15 2453157.50000   40.3952    inner_
  38.4591   0.0003  25.7520  12.1985  51.9059 273.6522   8.38 2453157.50000   38.4582    inner_
  38.1053   0.0432  19.9686 309.7922  13.2734 312.3146   7.82 2453157.50000   37.0371    inner_
  37.8468   0.0582  38.8655 138.4583 146.8867 349.6312   7.99 2453157.50000   35.6846    inner_
  38.9104   0.1199  27.8853 240.6864 324.7641 205.9685   7.96 2453157.50000   43.1985    inner_
  38.7568   0.0090  28.5606 348.9082  22.0861  68.3825   8.63 2453157.50000   38.6308    inner_
