# File: ModelUsed.dat
# Creation time: 2026-03-02T14:12:06.062  +0100
#
# Classical population model.
# Version OSSOS 1.0, 2026-02-24
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Debiased main belt model files:
#     Hot_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#     Cold_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#
# a_step:  0.10
# q_step:  0.10
#
# Hcut:   8.70
#
# Colors for cold:  0.90  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Fractions of (cold, low-a): 0.169; (cold, high-a): 0.175; hot: 0.602; kernel: 0.054
#
# Parameters for hot inclination distribution:   0.00 16.50
# Parameters for cold inclination distribution:   4.90  0.70
# Parameters for warm inclination distribution:  12.00  0.50
#
# Cold, low-a H-dist. parameter:    8.66  1.00  0.40  8.66
# Cold, high-a H-dist. parameter:   8.66  1.00  0.40  8.66
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
# Kernel H-dist. parameter:         8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  44.9111   0.0970   7.8651  46.3749 261.3146 269.2375   7.58 2453157.50000   45.3883 coldh_   
  47.8336   0.0815  27.4631  30.9791 348.4876 141.4228   6.03 2453157.50000   50.9943   hot_   
  45.3108   0.0627   7.9224 201.1672 331.8403 339.6652   8.65 2453157.50000   42.6685 coldh_   
  45.3632   0.1034   5.5731  78.4673 108.3402 177.0684   8.29 2453157.50000   50.0487 coldh_   
  43.8451   0.0169   1.9689 110.5373  10.7969 162.9225   8.32 2453157.50000   44.5562 coldl_   
  46.8138   0.1438  23.1969 231.5279 251.0683 274.0674   8.57 2453157.50000   47.3010   hot_   
  46.1616   0.1439  12.8205 128.8157  51.2982 109.1611   7.75 2453157.50000   49.1306   hot_   
  45.7370   0.1930  17.4528 266.3609 315.4168 302.3294   7.87 2453157.50000   42.4182   hot_   
  45.5557   0.1993  45.9453 184.4050 203.2041  99.5062   7.34 2453157.50000   48.6945   hot_   
  47.1174   0.1648  22.8691  62.2744  91.9248 340.9690   7.37 2453157.50000   39.9532   hot_   
  45.1411   0.1338  10.8713 108.5209 221.2352 103.9560   7.85 2453157.50000   47.3170   hot_   
  44.8783   0.1668  13.8604 129.0640 150.5682 185.1139   8.04 2453157.50000   52.3428   hot_   
  44.8640   0.0711   9.8801  42.3040 171.5669 259.1053   7.78 2453157.50000   45.6805 coldh_   
  45.6388   0.1338   3.1984 330.8840 301.4446  31.9439   7.62 2453157.50000   40.7301 coldh_   
