# File: ModelUsed.dat
# Creation time: 2026-03-02T14:45:58.052  +0100
#
# Detached population model.
# Version OSSOS 1.0, 2026-02-27
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 18.00
# Parameters for q distribution:    7 34.000
#                                  0.080 35.500
#                                  0.580 39.000
#                                  0.340 49.000
# Parameters for a distribution:   -3.00  48.00 250.00
#
# Hot H-dist. parameter:            8.30  0.32  0.40  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 121.3714   0.6780  25.0440 319.2586 348.4497 232.9663   8.61 2453157.50000  190.9747 detached_
  54.2341   0.3416  42.4712  74.5372 127.6486 308.7795   7.87 2453157.50000   47.7644 detached_
  92.7772   0.5822   6.3030   4.0695 262.0261 349.2069   7.25 2453157.50000   43.7314 detached_
  66.2431   0.4370   7.1267 283.8334 267.8558 289.9816   8.21 2453157.50000   68.7473 detached_
  55.2900   0.2784  32.9740 130.2094  89.5822 109.4885   7.97 2453157.50000   63.6470 detached_
  60.3109   0.4288  15.0199  93.3353 272.2573 103.0910   8.54 2453157.50000   74.6086 detached_
  56.7893   0.2619  10.6876 109.8387 242.6688 158.5271   6.69 2453157.50000   71.0067 detached_
 111.6575   0.6160  44.8010  48.0799 264.9499 156.0122   7.50 2453157.50000  178.1256 detached_
  73.6423   0.4896  27.3927  90.2673 141.1708 116.2525   7.50 2453157.50000   99.4933 detached_
  52.1582   0.3087   6.7249 331.1339 256.2637 257.5321   8.17 2453157.50000   59.7354 detached_
  75.0372   0.5012  28.6156  98.1686   4.8549 103.9648   8.44 2453157.50000   97.6320 detached_
  69.7614   0.4658  11.8535 214.5142  60.6275  19.1261   8.53 2453157.50000   42.8474 detached_
  89.7636   0.5830  10.3789 130.1128  78.8497 277.8192   8.54 2453157.50000  110.1625 detached_
  62.4510   0.3892  10.4231 231.2515 221.7296 167.9526   7.81 2453157.50000   86.4798 detached_
  97.5325   0.6342  29.2723 213.0533  83.1952 342.7773   7.99 2453157.50000   50.9332 detached_
  65.1986   0.3359   9.3676 222.3916 121.1750 248.6160   7.05 2453157.50000   78.3145 detached_
  59.0700   0.3614  19.9593  66.4045  45.7985 293.9524   8.07 2453157.50000   57.8480 detached_
 102.5044   0.6290   8.7588 339.9336 337.9060  55.0383   8.41 2453157.50000  103.7112 detached_
  50.4610   0.2503  36.7072 180.7340  52.0971 164.6567   8.04 2453157.50000   62.7999 detached_
  48.7402   0.0526  11.5527   7.0486 216.4433  78.1783   8.62 2453157.50000   48.3462 detached_
  68.1408   0.2881   7.4472  14.8389 214.6357 220.5538   7.65 2453157.50000   84.8163 detached_
 128.3392   0.7165  12.6089 149.4497 217.2657 104.3818   7.65 2453157.50000  192.1433 detached_
 131.4936   0.7053   1.6227 159.5273 332.2158 184.3237   7.66 2453157.50000  224.1461 detached_
  50.6583   0.2457  35.1390 224.5946 218.6161  32.4219   8.42 2453157.50000   41.3791 detached_
  89.4323   0.5174  40.2967  75.7718 224.3895 197.1529   8.64 2453157.50000  134.8001 detached_
  59.7411   0.3579  20.7004 226.6733  57.6877 298.7059   8.29 2453157.50000   56.6103 detached_
  51.8392   0.3095  49.8470 327.5395 209.3598  76.6905   7.12 2453157.50000   53.0613 detached_
  71.7528   0.4613  36.6762  44.9930 107.6116 194.0660   8.61 2453157.50000  104.3817 detached_
  49.8243   0.2411  29.4581 133.5706  33.9982  60.4382   7.81 2453157.50000   46.4521 detached_
 125.7419   0.7237  17.3296 271.7178 111.1839 286.9816   8.64 2453157.50000  159.2046 detached_
  48.2332   0.2217   7.0914 149.7999 240.1149  52.2667   8.31 2453157.50000   43.4867 detached_
  85.1422   0.5486  15.3993 152.7209 139.5778 143.1892   7.63 2453157.50000  127.8041 detached_
  87.4988   0.5001  31.2174 320.3554  39.5995 138.7431   6.32 2453157.50000  126.1817 detached_
  50.3388   0.2783  40.4085  12.8951 276.0993 145.1723   7.79 2453157.50000   62.7698 detached_
 209.6765   0.8230  46.0103 114.1208 336.4374 114.4282   8.54 2453157.50000  347.2857 detached_
  64.6285   0.4116  21.1997 281.5736 260.6961  19.0445   7.08 2453157.50000   41.8957 detached_
 121.3524   0.6816  45.3060  63.0691  84.7669 200.3213   8.64 2453157.50000  202.2194 detached_
  57.2354   0.3187  24.8291  93.6703 301.2909  39.4901   8.01 2453157.50000   46.5979 detached_
  61.1898   0.4157  19.7254 154.6484 213.1523 220.8249   8.24 2453157.50000   83.3918 detached_
  50.0223   0.2329  12.2622  33.6776 151.6118 267.9615   7.65 2453157.50000   53.0235 detached_
 162.8868   0.7637  18.2860 270.0404 291.5899 222.7287   7.68 2453157.50000  276.0346 detached_
  55.3832   0.3581  11.6539 348.4182 345.0462 109.4293   7.79 2453157.50000   67.0471 detached_
  53.6153   0.3046  13.4600 238.9377  46.1395  73.3869   8.58 2453157.50000   53.8541 detached_
  87.2245   0.5901  17.4485 156.3990 215.7609 214.8001   8.09 2453157.50000  134.9214 detached_
  51.7679   0.3061  17.7700 158.1079 125.0609 351.2296   8.18 2453157.50000   36.3036 detached_
  48.1865   0.1978   9.3196 272.5040 298.3947 166.6911   8.32 2453157.50000   57.5374 detached_
  90.2543   0.5912  18.5886 272.2520  95.8517 196.5674   7.93 2453157.50000  142.7265 detached_
  61.6803   0.3721  25.8054 209.4602 140.8806 120.0099   8.19 2453157.50000   77.9275 detached_
  62.4397   0.4267  15.5895 175.2184 166.6200 182.0299   7.97 2453157.50000   89.0713 detached_
  76.0198   0.5078  34.9020 348.6899 295.6734 284.3123   8.55 2453157.50000   85.3094 detached_
 139.3097   0.7527  16.0205 287.4951 193.9868  34.1879   8.62 2453157.50000  114.0148 detached_
 107.1061   0.5510  10.3953 270.2098 107.8283 251.5497   8.28 2453157.50000  146.5478 detached_
 161.9147   0.7127   9.9928  88.5828  34.7587  36.4068   8.08 2453157.50000  134.0642 detached_
 155.0811   0.7608  45.8736  36.6216  24.0679 279.5389   8.10 2453157.50000  211.7400 detached_
 102.8865   0.5417  15.2284 207.7861 129.3571 247.4766   8.19 2453157.50000  142.0310 detached_
  52.1103   0.2850  39.2469 274.9146  81.2627 323.1002   7.81 2453157.50000   42.4219 detached_
  53.1707   0.3190  17.5936 141.8163 198.5366  27.1063   7.65 2453157.50000   39.8916 detached_
  73.8240   0.4173  10.6308  73.6450 163.1570 102.3167   8.47 2453157.50000   90.3682 detached_
  88.1176   0.6041  15.2195 162.6304  64.5875 174.6195   7.81 2453157.50000  141.2595 detached_
  66.8586   0.2765  34.3287 140.7989 128.6704 245.8334   7.65 2453157.50000   77.9446 detached_
 102.8665   0.6264  18.8844 214.7552 354.0331  31.2583   7.80 2453157.50000   73.9433 detached_
  63.9281   0.4056  15.4526 115.8828 179.4482 169.1680   6.91 2453157.50000   89.6198 detached_
  94.4793   0.6194   8.9675 231.2603 318.3171 320.9466   8.38 2453157.50000   77.3585 detached_
  56.0201   0.3127  25.2237 347.2246 157.3000 307.4053   8.22 2453157.50000   49.8455 detached_
 126.0182   0.7042  12.5831 122.7902 293.9374 191.0930   8.21 2453157.50000  214.1829 detached_
  94.6258   0.5895  16.8278 215.0183  54.9284 338.1991   7.21 2453157.50000   55.9922 detached_
  82.0162   0.5423  18.0452 321.7172 293.6809 305.8011   8.52 2453157.50000   78.2634 detached_
  57.7436   0.3540  19.8110 100.2860 181.3489  58.1989   7.51 2453157.50000   53.5079 detached_
  67.8335   0.4267  31.3235 226.4019 256.3305 119.7003   8.09 2453157.50000   88.8379 detached_
  52.8786   0.3234  10.7315 131.7438  10.8742 316.5687   7.81 2453157.50000   44.1680 detached_
  71.3863   0.4822  40.5253 281.6388 172.9049  24.3950   6.67 2453157.50000   46.3616 detached_
  73.8108   0.5128  21.1800  40.9862  12.5966 125.6882   7.29 2453157.50000  104.1437 detached_
  48.9243   0.2260  14.9175 359.3472 138.9692 154.1584   8.49 2453157.50000   59.2338 detached_
  70.4683   0.4720  13.8609  47.2605 353.2557 230.0250   8.30 2453157.50000   97.8298 detached_
 151.3634   0.6819  32.1706 349.8909 126.0935  65.3158   8.65 2453157.50000  175.1607 detached_
