# File: ModelUsed.dat
# Creation time: 2026-03-06T10:56:42.866  +0100
#
# Plutino population model.
# Version OSSOS 1.0, 2026-03-04
#
# Seed:  123476996
#
# Epoch: 2456505.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# p1deg:         2.000
# p2deg:         7.500
# ew:            0.060
# ecent:         0.190
# libampmin:    10.000
# libampc:      50.000
# libampmax:   120.000
# libamptail:  160.000
# libamplow:     0.140
# libampmid:     0.760
# capomfrac:     0.480
#
# Hot H-dist. parameter:           12.00  1.00  0.40  8.66
# hmin:          6.000
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  39.6116   0.1530   5.9237 120.6717 355.4762  41.5349   8.17 2456505.50000   35.5605 03:02_144
  39.3068   0.0222   8.8644 215.1164 286.9119  64.8544   8.55 2456505.50000   38.9514 03:02_265
  39.4124   0.1429  24.7092 120.0279 146.0915 111.4113   7.22 2456505.50000   42.1084 03:02_293
  39.4162   0.3829  28.9197 105.8085 341.7645  69.3745   8.47 2456505.50000   39.7602 03:02_170
  39.2731   0.2127   7.8467 159.2312  69.9649 119.6913   6.98 2456505.50000   44.5474 03:02_244
  39.3307   0.2169  13.9070  71.9831  44.6161 257.4599   8.48 2456505.50000   42.7882 03:02__73
  39.5239   0.1259  36.9251 311.9342  86.4114 208.5077   8.56 2456505.50000   44.0180 03:02_129
  39.5037   0.0814  14.4935 124.6943 241.4825 124.2409   8.28 2456505.50000   41.4787 03:02_172
  39.5147   0.0992   5.1487 344.0858 225.0455 312.2523   8.64 2456505.50000   37.1152 03:02__62
  39.4028   0.1370  10.6618 288.5169 343.0285 302.3470   8.19 2456505.50000   37.1009 03:02_157
  39.5891   0.1452   3.2095 348.1715 230.4222  92.2717   8.44 2456505.50000   40.6320 03:02_141
  39.4768   0.2726   9.9456  99.8455 175.1707  63.7216   8.21 2456505.50000   37.4338 03:02_168
  39.4252   0.0360  14.6602 208.6861 135.9146 269.8710   8.43 2456505.50000   39.4793 03:02_205
  39.3749   0.1390   7.5782 132.8532 124.6231 205.2357   8.57 2456505.50000   44.4425 03:02_197
  39.2255   0.1237  14.5750 225.3442  38.2363 215.2024   8.61 2456505.50000   43.3616 03:02_239
  39.4945   0.2070  15.0756 170.6815  66.2590 245.5216   7.07 2456505.50000   44.0998 03:02_277
  39.4650   0.1623   8.7095 120.1677 319.4354  76.4873   8.18 2456505.50000   38.9917 03:02_176
  39.5575   0.1143  16.5083  58.1723  20.5023 119.3713   8.25 2456505.50000   42.1355 03:02_303
  39.3206   0.1736   7.3742 274.5593 105.3319 151.0907   7.53 2456505.50000   45.5203 03:02_280
  39.6316   0.2351   1.8563 103.4331 216.3289 252.1881   8.12 2456505.50000   44.2245 03:02_103
  39.3898   0.2914   9.9443 110.4621 250.5821 349.7867   8.63 2456505.50000   28.2716 03:02_118
  39.2785   0.2124  15.0587 229.7442 122.7782   8.4570   7.55 2456505.50000   31.0808 03:02_157
  39.4442   0.2553   2.0258 124.0144  79.5323 233.0167   8.07 2456505.50000   46.8041 03:02_173
  39.4098   0.2599  14.1993 313.4011 207.7096 347.5127   8.39 2456505.50000   29.6038 03:02__72
  39.4245   0.3035  17.4514 329.7593  10.7908 227.7685   7.92 2456505.50000   48.9500 03:02__71
  39.3667   0.1976  36.1459  95.9145 349.7005 326.0971   7.78 2456505.50000   33.5315 03:02_217
  39.4720   0.1206  34.7537 238.9011 307.3430 336.2726   7.13 2456505.50000   35.2232 03:02__87
  39.5526   0.2237   5.0062 128.8459 315.6557 303.6410   8.63 2456505.50000   36.2759 03:02_147
  39.3895   0.1867   8.0004 265.9314 228.5879 170.0462   8.30 2456505.50000   46.6638 03:02_206
  39.3116   0.2315   2.2050 217.0533 113.0459 246.5770   8.08 2456505.50000   44.4489 03:02_107
  39.4677   0.2886  16.0185 109.3936 151.3874 158.4170   8.55 2456505.50000   50.3718 03:02__64
  39.5429   0.1600  22.0459  75.4695 203.3232 188.9275   7.36 2456505.50000   45.8122 03:02_192
  39.3832   0.1227   4.7082 309.2637  85.3725 129.1049   7.66 2456505.50000   42.7502 03:02_243
