# File: ModelUsed.dat
# Creation time: 2026-03-03T17:18:23.530  +0100
#
# Scatering population model.
# Version OSSOS 1.0, 2026-02-02
#
# Seed:  123476990
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 19.00
# Parameters for a distribution:   30.00 700.00   0.90
# Parameters for q distribution:    0.04   0.20   2.50
#
# Hot H-dist. parameter:            8.30  0.32  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 323.0276   0.8653  43.3249 183.6050 177.6763 355.7547   7.41 2453157.50000   71.5981 scatterin
 119.7145   0.6934  24.3712 160.3300 145.7608  79.2325   7.82 2453157.50000  155.0359 scatterin
 551.0150   0.9186  30.6479 326.9535 358.0454 308.6103   8.56 2453157.50000  662.5518 scatterin
 460.6149   0.9168  44.1870 229.4650 177.7092 318.9251   8.21 2453157.50000  486.4151 scatterin
 422.8870   0.9124  26.7968 108.4225 344.6817 203.3107   8.18 2453157.50000  799.9472 scatterin
 156.0978   0.7521  25.1514  37.8511 318.1881 193.1703   7.90 2453157.50000  272.4912 scatterin
 212.8210   0.8240   8.9711 237.2801 359.1201 182.3336   7.93 2453157.50000  388.1504 scatterin
 363.9230   0.8895  26.1905  67.8636 103.6148 308.1113   7.83 2453157.50000  429.9999 scatterin
 613.4260   0.9211  25.4405  13.9698 142.4668 276.7040   8.65 2453157.50000  945.5191 scatterin
 559.8037   0.9183  35.7521 105.4748  30.3994 135.9374   8.46 2453157.50000 1032.0649 scatterin
 128.2217   0.7047  17.8614 327.2339  92.2434 114.5389   6.92 2453157.50000  197.7618 scatterin
 190.2060   0.7946  31.4425 293.6344  99.1060 225.1023   7.99 2453157.50000  326.6246 scatterin
 279.4086   0.8798  35.8533 215.3536 273.0894 136.3012   7.47 2453157.50000  504.7375 scatterin
 525.8877   0.9166   4.8602 133.5305  57.5913  86.5002   8.18 2453157.50000  822.1892 scatterin
 553.1025   0.9150   8.0238 215.1859 267.5525  26.9983   7.12 2453157.50000  450.8213 scatterin
 612.6946   0.9281  31.3971 142.6130   3.7193 248.4216   8.01 2453157.50000 1068.8365 scatterin
 457.4476   0.9003  27.1022  76.3296 268.5088  68.3790   8.62 2453157.50000  632.1206 scatterin
 373.8453   0.8848  25.7681 181.5095 102.8962  26.6822   7.47 2453157.50000  292.9184 scatterin
 315.0687   0.8665  62.7092  89.3498 211.7799 289.1639   8.28 2453157.50000  433.0649 scatterin
 374.7100   0.8831  30.5700 256.7300   5.3681 159.4677   8.47 2453157.50000  699.6091 scatterin
 195.7860   0.8721   2.9443 118.9104 291.6646 204.9204   8.33 2453157.50000  361.9055 scatterin
 195.0131   0.7962  21.9748 262.6227  89.8293  28.9132   8.20 2453157.50000  148.0524 scatterin
 642.1847   0.9281  17.2067  84.2496 107.7402  11.9557   8.36 2453157.50000  309.6087 scatterin
 624.8055   0.9245   5.9609  82.2300 238.8176 327.9237   8.42 2453157.50000  572.7541 scatterin
 546.9220   0.9145  20.3978 110.7928 232.2805 327.0080   8.19 2453157.50000  505.1240 scatterin
 173.6646   0.7915   9.4146  32.2728 268.8710 247.1811   7.71 2453157.50000  280.8269 scatterin
 527.0552   0.9138  29.5418  63.6192 276.1569 263.8105   6.75 2453157.50000  861.0849 scatterin
 611.4941   0.9333  44.7242 167.7763  17.9100 237.4079   8.19 2453157.50000 1103.8649 scatterin
  76.0815   0.5554  34.8386 256.3806 165.5599 356.8040   8.42 2453157.50000   34.1585 scatterin
 683.2357   0.9293  44.7242 307.9880 140.9032 313.8668   8.23 2453157.50000  779.9126 scatterin
 437.8011   0.9024   6.0613 173.1801  49.3367  98.0344   6.73 2453157.50000  715.9295 scatterin
 372.4504   0.8791  10.2628 218.2063  30.4892 351.1646   8.42 2453157.50000  135.0170 scatterin
 287.6758   0.8500  27.5709  64.0152 341.2413 208.6417   6.52 2453157.50000  523.2364 scatterin
 555.4643   0.9170  19.5700 192.0918 236.0792 257.6525   7.22 2453157.50000  932.2272 scatterin
 316.9225   0.8697  32.7582  33.7203 204.2337  23.1603   7.78 2453157.50000  222.5689 scatterin
 519.1749   0.9103  28.3386 142.3963  11.1810  20.8011   8.31 2453157.50000  355.4123 scatterin
 330.2780   0.8677  13.6649  19.2086 198.7664 307.0730   8.18 2453157.50000  388.0043 scatterin
 357.1340   0.8909  46.9444  37.7876  31.7942 113.0631   7.04 2453157.50000  612.7472 scatterin
 508.5248   0.9150  54.0582 185.8287 225.7358 287.5252   8.00 2453157.50000  730.7833 scatterin
 614.1668   0.9319  32.2212 166.4188 268.5279 291.7134   8.46 2453157.50000  866.8344 scatterin
 146.0295   0.8484  10.8062 345.8687 218.2327 257.2534   7.82 2453157.50000  235.6312 scatterin
 638.9068   0.9300  34.7679 168.1460 265.7674 358.5635   8.05 2453157.50000   71.1109 scatterin
 252.6122   0.8844  21.3394 265.7437 111.7431 327.7361   8.54 2453157.50000  223.4549 scatterin
 484.6831   0.9044  45.4696  94.4252 315.7934  49.4474   8.53 2453157.50000  563.9072 scatterin
 173.3626   0.7787  39.9503 193.7093  17.7969   5.8031   8.42 2453157.50000   49.8739 scatterin
 103.7242   0.7004   9.7245  88.7853 279.8048 300.4233   7.95 2453157.50000  115.3313 scatterin
  41.4097   0.2113  23.5306   2.9717 305.9908 355.9550   8.06 2453157.50000   32.6930 scatterin
 123.3593   0.6918  30.3023 151.2320 330.5913 139.5278   8.56 2453157.50000  201.1885 scatterin
 566.5036   0.9285  15.4949 248.7281 227.2432 175.0947   8.05 2453157.50000 1091.9739 scatterin
 264.2898   0.9191  29.4257 125.8377 158.1112 308.1547   7.32 2453157.50000  319.4572 scatterin
 303.4432   0.8628  40.0294 260.3698  74.7775 282.8136   7.67 2453157.50000  434.3541 scatterin
 542.2490   0.9324  22.1765  18.6558 285.6688 267.5401   7.30 2453157.50000  881.2144 scatterin
 148.8358   0.7682  18.3440 113.9860 123.8031 356.0311   8.48 2453157.50000   39.1475 scatterin
 123.7023   0.7001  25.5757 148.9921 333.4227 270.7560   8.03 2453157.50000  170.7665 scatterin
 174.5533   0.7927  30.9948  50.6829 170.5762   9.3931   8.57 2453157.50000   62.9641 scatterin
 103.8497   0.6418  10.6500 342.7203  13.3865 346.5859   8.56 2453157.50000   48.5623 scatterin
  91.8925   0.5994  24.0692  95.7606 327.1762 322.8897   7.57 2453157.50000   72.3494 scatterin
 627.3725   0.9244  20.1332 134.7039  47.8287 187.9206   8.40 2453157.50000 1205.8185 scatterin
 574.9093   0.9230  13.6131 210.9194 225.5720 313.0611   7.71 2453157.50000  659.2729 scatterin
 265.4015   0.8534  12.4975  47.6879  74.4971 352.7604   8.19 2453157.50000   82.0130 scatterin
 213.4677   0.8235  45.7981 319.8682 212.2674 132.6776   7.19 2453157.50000  370.9764 scatterin
 392.6597   0.8949  47.6850 282.0405 181.8957 346.4220   7.71 2453157.50000  197.0352 scatterin
  54.5151   0.5445   7.8250 115.8807 306.3760 184.5152   7.97 2453157.50000   84.1624 scatterin
  73.4567   0.5158  42.6610 337.0964 359.5672 359.9199   7.77 2453157.50000   35.5679 scatterin
 273.7766   0.8439  35.6033 273.6344 334.5005 219.8951   7.89 2453157.50000  488.1834 scatterin
 186.3386   0.7837  37.2556 109.7306 168.3033 138.5377   6.49 2453157.50000  320.2256 scatterin
 275.7302   0.8602  31.4515 346.6021 333.6083  23.8810   7.54 2453157.50000  195.6728 scatterin
 566.3236   0.9273  25.6677 212.8385  45.7699 332.0389   7.92 2453157.50000  478.1737 scatterin
 669.2732   0.9382  21.7439   3.9088 186.3952 196.3159   7.76 2453157.50000 1290.4050 scatterin
 300.7733   0.8665  41.8539 143.4439  68.2437 299.5375   6.98 2453157.50000  380.2077 scatterin
 314.5139   0.9069  17.4810 352.4725 314.8772 242.1281   7.52 2453157.50000  552.4369 scatterin
 445.1696   0.8986  20.4606  98.2650 176.7396  30.6177   8.24 2453157.50000  386.3412 scatterin
 156.6241   0.7730  34.5449 259.6169 254.9164  68.5597   6.28 2453157.50000  198.3142 scatterin
 544.8223   0.9166  11.5664 225.8635   8.5818  70.2720   8.10 2453157.50000  771.8721 scatterin
 505.2885   0.9080  24.6589 146.8437 241.8929  51.5509   5.72 2453157.50000  603.5761 scatterin
 145.3326   0.8194  17.0259  34.9898  22.8788 337.8566   6.97 2453157.50000   94.1163 scatterin
 414.4361   0.8925  10.9040  68.5513 119.0400 323.6277   8.55 2453157.50000  398.0243 scatterin
 115.0620   0.6721  38.2983 212.3764 105.3198 163.7252   7.85 2453157.50000  191.2737 scatterin
  63.2773   0.4662  29.8845 314.8346  10.9133 116.3295   7.81 2453157.50000   84.1978 scatterin
 507.1901   0.9169  28.0329 216.7173 168.0146 178.8853   8.61 2453157.50000  972.2227 scatterin
  94.2148   0.6460  32.2870 257.8104 130.1128 328.4779   7.74 2453157.50000   68.5835 scatterin
  75.4082   0.5532  15.3503 199.5790  54.0999  72.4937   7.24 2453157.50000   85.0298 scatterin
 296.0717   0.9133  17.9558  54.1062 154.3490 133.0752   7.91 2453157.50000  541.3575 scatterin
 528.9642   0.9203  23.8210 226.0505   2.6332 295.5127   8.42 2453157.50000  719.3100 scatterin
 334.6333   0.8776  20.6056  45.0561 215.1116 272.1996   8.41 2453157.50000  513.9278 scatterin
  80.1210   0.6586   9.2694  84.8629 129.5633 237.8420   6.25 2453157.50000  122.9268 scatterin
 425.9631   0.9055  50.3265   3.7597 265.0421 331.0168   8.40 2453157.50000  359.5790 scatterin
  42.5620   0.2300  12.0319  59.5457  18.8294 111.9286   8.42 2453157.50000   47.8908 scatterin
 308.3560   0.8856  24.1558 174.4211 301.7555  25.0047   7.77 2453157.50000  231.7445 scatterin
 282.9529   0.8484  21.6516  46.1191  77.4860 226.8925   8.21 2453157.50000  499.1420 scatterin
 254.0903   0.8422  21.5800  20.8100  79.3941 341.3572   8.41 2453157.50000  149.4980 scatterin
 262.6670   0.8494  22.7296  40.2727  93.5978  60.6135   8.51 2453157.50000  328.3683 scatterin
 220.8458   0.8213  30.0961 358.5255 100.9679 161.4399   7.90 2453157.50000  399.3494 scatterin
 234.3940   0.8233  18.8001  30.2990  57.6775 291.9460   8.11 2453157.50000  306.1765 scatterin
 386.6247   0.8870  37.0872 185.6633 151.3046  51.8425   7.77 2453157.50000  455.7040 scatterin
 618.7180   0.9226  25.5190 270.7010 206.2551  19.5499   8.18 2453157.50000  412.7440 scatterin
 343.6741   0.8897  39.6027  97.0987 244.4980 311.3684   8.47 2453157.50000  391.4279 scatterin
 109.4021   0.6889  33.9778 281.3661 278.6434  18.4201   7.62 2453157.50000   58.5231 scatterin
 256.9388   0.9053  26.6604 237.0956 109.8444 276.7639   8.48 2453157.50000  391.9389 scatterin
  61.3845   0.4355  36.6700 110.8459 105.7163 169.7820   7.72 2453157.50000   87.9094 scatterin
 435.8214   0.9235  24.6480 105.9011 219.8030  32.8879   8.10 2453157.50000  405.2657 scatterin
 255.2706   0.8423  23.2655 141.4157  53.8503 255.3505   7.90 2453157.50000  413.4200 scatterin
 256.3420   0.8448  22.1071 278.6891 113.8018 213.2004   7.36 2453157.50000  462.1319 scatterin
 594.4215   0.9260   8.8788 291.7495 186.5412 346.2589   8.42 2453157.50000  314.3436 scatterin
 184.1501   0.8109  32.9721 129.9111 132.4890 270.6202   8.16 2453157.50000  273.2998 scatterin
 138.1596   0.7265  23.7415 181.0934 183.1045  78.6535   7.14 2453157.50000  182.2374 scatterin
 407.7223   0.9008  16.1365  88.2357 222.2656  88.1638   8.06 2453157.50000  636.5321 scatterin
 289.9539   0.8705  18.4440 117.1741 257.0951  15.1202   8.30 2453157.50000  152.1340 scatterin
 696.7824   0.9360  34.4084  78.6767 196.0498  96.5362   8.40 2453157.50000 1155.3404 scatterin
 273.3308   0.9263  12.1089  39.0261 152.4559 312.2416   8.05 2453157.50000  317.4005 scatterin
 422.9670   0.8923  42.9014 109.2649  92.2854  41.0895   6.75 2453157.50000  437.3207 scatterin
 224.3004   0.8306  31.3838 231.6479  63.7699 167.4964   8.06 2453157.50000  409.2701 scatterin
 237.2706   0.8592  15.6024 233.8627 211.5748 248.6814   8.23 2453157.50000  397.4280 scatterin
 629.6763   0.9338  12.3718 315.0456 106.5246 196.8289   8.16 2453157.50000 1210.8639 scatterin
 237.8724   0.9151  19.3466 171.5200 172.9953 328.4721   8.17 2453157.50000  213.7373 scatterin
 669.7748   0.9346  13.4535 287.6646 257.5062 119.8476   8.24 2453157.50000 1201.3371 scatterin
